Date,Product,Category,Price,Units,Total,Discount,Region,Sales_Rep,Payment_Method,Customer_Segment
2023-01-01,Notebook,Office Supplies,18.33,2,35.56,0.03,South,Sarah Wilson,Debit Card,Small Business
2023-01-01,Laptop,Electronics,1943.35,4,7773.4,0.0,North,John Smith,Debit Card,Small Business
2023-01-01,Tablet,Electronics,436.05,2,872.1,0.0,East,David Brown,Bank Transfer,Government
2023-01-01,USB Drive,Accessories,116.48,3,349.44,0.0,East,Lisa Anderson,PayPal,Individual
2023-01-01,Pen Set,Office Supplies,42.14,4,168.56,0.0,East,David Brown,Debit Card,Corporate
2023-01-01,Pen Set,Office Supplies,26.14,4,90.97,0.13,West,Jennifer Martinez,Bank Transfer,Corporate
2023-01-01,Laptop Bag,Accessories,94.14,3,245.71,0.13,South,Sarah Wilson,PayPal,Corporate
2023-01-01,Pen Set,Office Supplies,46.51,3,139.53,0.0,East,David Brown,PayPal,Small Business
2023-01-01,Lamp,Furniture,353.09,5,1518.29,0.14,North,Emma Davis,Debit Card,Individual
2023-01-01,Smartwatch,Electronics,893.71,3,2681.13,0.0,West,Jennifer Martinez,PayPal,Government
2023-01-01,Laptop,Electronics,802.12,3,2093.53,0.13,West,Jennifer Martinez,Debit Card,Individual
2023-01-01,Monitor Stand,Accessories,71.68,5,358.4,0.0,East,David Brown,Debit Card,Corporate
2023-01-02,Desk Organizer,Office Supplies,17.15,5,85.75,0.0,East,David Brown,Debit Card,Government
2023-01-02,Smartphone,Electronics,687.98,3,2063.94,0.0,West,Robert Taylor,Bank Transfer,Small Business
2023-01-02,Stapler,Office Supplies,24.32,3,72.96,0.0,West,Robert Taylor,PayPal,Corporate
2023-01-02,Notebook,Office Supplies,31.67,1,31.67,0.0,South,Michael Johnson,Debit Card,Small Business
2023-01-02,Smartwatch,Electronics,507.91,4,2031.64,0.0,East,David Brown,Bank Transfer,Corporate
2023-01-02,Lamp,Furniture,390.69,3,1160.35,0.01,North,Emma Davis,Credit Card,Individual
2023-01-02,Desk,Furniture,173.22,3,504.07,0.03,East,Lisa Anderson,Debit Card,Small Business
2023-01-02,USB Drive,Accessories,122.02,2,236.72,0.03,East,Lisa Anderson,Bank Transfer,Corporate
2023-01-02,Notebook,Office Supplies,8.45,1,8.37,0.01,South,Michael Johnson,Bank Transfer,Individual
